Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
CR;;MT11;100;0:10.93;-0.5;Ghavelas;Athanasios;GRE;1999;FRA;Paris;2023-07-15;Male;Outdoor
CR;;MT12;100;0:10.54;1;Kashafali;Salum Ageze;NOR;1993;UAE;Dubai;2019-11-12;Male;Outdoor
CR;;MT13;100;0:10.54;0.6;Smyth;Jason;IRL;1987;UAE;Dubai;2019-11-13;Male;Outdoor
CR;;MT33;100;0:17.00;0.2;Almutairi;Ahmad;KUW;1994;GBR;London;2017-07-15;Male;Outdoor
CR;;MT34;100;0:14.89;1.6;Ktila;Walid;TUN;1985;UAE;Dubai;2019-11-10;Male;Outdoor
CR;;MT35;100;0:11.77;0.4;Tsvietov;Ihor;UKR;1994;UAE;Dubai;2019-11-15;Male;Outdoor
CR;;MT36;100;0:11.72;0.7;Turner;James;AUS;1996;UAE;Dubai;2019-11-10;Male;Outdoor
CR;;MT37;100;0:11.44;0.7;Vdovin;Andrei;RUS;1994;UAE;Dubai;2019-11-11;Male;Outdoor
CR;;MT38;100;0:10.93;0.2;O'Hanlon;Evan;AUS;1988;FRA;Lyon;2013-07-22;Male;Outdoor
CR;;MT45;100;0:10.99;-0.1;Nascimento;Yohansson;BRA;1987;FRA;Lyon;2013-07-24;Male;Outdoor
CR;;MT46;100;0:10.42;0.3;Ferreira dos Santos;Petrucio;BRA;1996;UAE;Dubai;2019-11-12;Male;Outdoor
CR;;MT47;100;0:10.42;0.3;Ferreira dos Santos;Petrucio;BRA;1996;UAE;Dubai;2019-11-12;Male;Outdoor
CR;;MT51;100;0:20.33;0.4;Piispanen;Toni;FIN;1976;UAE;Dubai;2019-11-07;Male;Outdoor
CR;;MT52;100;0:16.83;0.4;Martin;Raymond;USA;1994;GBR;London;2017-07-22;Male;Outdoor
CR;;MT53;100;0:14.38;0.7;Lakatos;Brent;CAN;1980;QAT;Doha;2015-10-22;Male;Outdoor
CR;;MT54;100;0:13.63;-0.9;Paeng-Nuea;Athiwat;THA;2002;FRA;Paris;2023-07-15;Male;Outdoor
CR;;MT62;100;0:10.54;1.6;Floors;Johannes;GER;1995;UAE;Dubai;2019-11-10;Male;Outdoor
CR;;MT63;100;0:12.03;0.3;Schaefer;Leon;GER;1997;JPN;Kobe;2024-05-25;Male;Outdoor
CR;;MT64;100;0:10.61;1.4;Browne;Richard;USA;1991;QAT;Doha;2015-10-29;Male;Outdoor
CR;;MT72;100;0:15.39;-2.3;Calcagni;Carlo Fabio Marcello;ITA;1968;JPN;Kobe;2024-05-17;Male;Outdoor
CR;;MT11;200;0:22.55;-0.9;Prado;Lucas;BRA;1985;FRA;Lyon;2013-07-21;Male;Outdoor
CR;;MT12;200;0:21.78;-1.6;Michalski;Mateusz;POL;1987;FRA;Lyon;2013-07-21;Male;Outdoor
CR;;MT13;200;0:21.05;1.7;Smyth;Jason;IRL;1987;FRA;Lyon;2013-07-21;Male;Outdoor
