Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
CR;;MT11;100;0:10.98;0.1;Ghavelas;Athanasios;GRE;1999;POL;Bydgoszcz;2021-06-05;Male;Outdoor
CR;;MT12;100;0:10.70;1.0;Kashafali;Salum Ageze;NOR;1993;POL;Bydgoszcz;2021-06-05;Male;Outdoor
CR;;MT13;100;0:10.66;-1.8;Smyth;Jason;IRL;1987;GER;Berlin;2018-08-23;Male;Outdoor
CR;;MT32;100;0:24.25;0.6;Mcdonagh;Martin;IRL;1976;NED;Assen;2003-06-19;Male;Outdoor
CR;;MT33;100;0:17.64;-1.0;Gold;Toby;GBR;1994;ITA;Grosseto;2016-06-13;Male;Outdoor
CR;;MT34;100;0:15.86;-0.2;Manni;Henry;FIN;1992;ITA;Grosseto;2016-06-13;Male;Outdoor
CR;;MT35;100;0:11.77;0.5;Safronov;Dmitrii;RUS;1995;POL;Bydgoszcz;2021-06-02;Male;Outdoor
CR;;MT36;100;0:12.16;0.9;Shvetsov;Evgenii;RUS;1988;NED;Stadskanaal;2012-06-24;Male;Outdoor
CR;;MT37;100;0:11.49;1.4;Vdovin;Andrei;RUS;1994;GBR;Swansea;2014-08-19;Male;Outdoor
CR;;MT38;100;0:11.03;0.3;Young;Thomas;GBR;2000;POL;Bydgoszcz;2021-06-03;Male;Outdoor
CR;;MT42;100;0:12.48;0.1;Prokhorov;Anton;RUS;1992;POL;Bydgoszcz;2021-06-02;Male;Outdoor
CR;;MT44;100;0:12.32;0.2;Cicchetti;Marco;ITA;1999;GER;Berlin;2018-08-23;Male;Outdoor
CR;;MT45;100;0:11.57;0.9;Ekholm;Andrej;SWE;1989;NED;Stadskanaal;2012-06-25;Male;Outdoor
CR;;MT46;100;0:10.77;0.5;Derus;Michal;POL;1990;GER;Berlin;2018-08-22;Male;Outdoor
CR;;MT47;100;0:10.77;0.5;Derus;Michal;POL;1990;GER;Berlin;2018-08-22;Male;Outdoor
CR;;MT51;100;0:20.10;0.6;Piispanen;Toni;FIN;1976;POL;Bydgoszcz;2021-06-05;Male;Outdoor
CR;;MT52;100;0:17.66;0.4;Boesch;Beat;SUI;1971;POL;Bydgoszcz;2021-06-03;Male;Outdoor
CR;;MT53;100;0:15.48;-0.6;Fairbank;Pierre;FRA;1971;POL;Bydgoszcz;2021-06-01;Male;Outdoor
CR;;MT54;100;0:13.83;1.6;Tahti;Leo-Pekka;FIN;1983;GER;Berlin;2018-08-25;Male;Outdoor
CR;;MT62;100;0:11.06;0.2;Floors;Johannes;GER;1995;GER;Berlin;2018-08-23;Male;Outdoor
